Speaker_name,Count,Speaker_age_at_recording,Speaker_gender,Speaker_age_group,path
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.O6yqrb74b58_2925.59-2939.91.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.vsnqvRMj2N8_8571.39-8588.67.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.SpYPAZPO3hE_9452.54-9467.4.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.CubdbvUkuI4_8179.82-8198.93.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.k0VzxBzGQ-s_518.61-538.32.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.K9IqJo93eoM_12328.62-12348.18.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.5hKCeE0WXcQ_14002.9-14013.17.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.rVfZ1qL88vM_6530.52-6550.08.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.NjJetqVr5IQ_12177.94-12192.59.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.9UCrtnKBgqs_9001.83-9015.6.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.vtRN30WCBjE_18104.81-18124.46.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.vJ4gib9EDcU_3635.95-3655.94.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.JxzqEMWNUro_7918.5-7932.54.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.KMGKU5I8aUQ_20960.13-20975.81.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.9T_wCjqZLt4_6708.05-6725.31.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.U8TNjDSZquc_21242.4-21262.03.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.9UCrtnKBgqs_8642.91-8662.81.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.PL0ih6y_S00_8650.78-8669.71.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.yRobslQfvvs_11550.96-11570.8.wav
"Stričak, Anđelko",1245,46.0,M,young,data_age/seg.U8TNjDSZquc_20790.39-20807.77.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.9mYs2yrz6Vg_14010.99-14028.89.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.-ZstXL0NcOo_4744.77-4764.71.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.64LGQKLo4Pw_8874.66-8891.69.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.Hlvu7goPx6c_8552.98-8572.67.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.9mYs2yrz6Vg_14149.54-14168.3.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.0usFzRcRXwI_20663.59-20683.55.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.sR_p6PbQPeI_13222.78-13242.06.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.1RiO-fXbo-c_11694.07-11709.31.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.EdOPd59A2NI_9914.75-9931.01.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.PlIzbAWUm_I_6716.61-6736.36.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.uH9xTSO3KAo_1548.02-1567.81.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.dvDYDmngXjk_15212.91-15232.52.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.eGIcf3VaYNY_2471.39-2491.0.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.oF5_Yejpjgc_2807.24-2827.14.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.bFuM6vBlCQE_9763.85-9781.92.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.Ko5OBGRMETo_10034.21-10050.92.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.LZETjGQNaNk_4181.98-4201.94.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.JLHv6H85Clc_11501.75-11519.06.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.oF5_Yejpjgc_2846.56-2855.54.wav
"Madjer, Mladen",571,53.0,M,old,data_age/seg.-aa4kot7dUU_10426.98-10446.88.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.kr7AcaY6GaU_8697.46-8706.23.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.L6ILB2DxLMw_6407.25-6427.12.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.rFVDr4ghXlQ_9592.01-9612.0.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.SpYPAZPO3hE_14351.47-14371.45.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.k0VzxBzGQ-s_862.83-871.01.wav
"Đakić, Josip",1866,58.0,M,old,data_age/seg.y2Vs3GXDVyk_19421.1-19440.43.wav
