Speaker_name,Count,Speaker_age_at_recording,Speaker_gender,Speaker_age_group,path
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.JCYHjcej-E4_3152.92-3162.47.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.BMBA_mVyQYs_9987.57-9999.78.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.vRMwK8TW_tw_17551.45-17559.73.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.Qx46Ey24m78_1581.61-1600.33.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.G_-Ky7hOB1c_6641.35-6655.86.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.AUZxNF3C_8A_19586.7-19606.6.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.xSErR_WVD4g_16878.32-16887.68.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.VsABMajxtAo_2490.85-2504.34.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.xEiJHotcTt0_175.07-194.73.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.vRMwK8TW_tw_13230.5-13247.88.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.LawoafWqSs4_13596.82-13612.84.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.A44UFMcUAMU_3798.66-3807.86.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.Qx46Ey24m78_2811.47-2828.52.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.AUZxNF3C_8A_17706.45-17725.87.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.amGNo5659ms_9676.55-9686.73.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.wAvVNgL6KOk_9540.33-9560.27.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.KMGKU5I8aUQ_21965.27-21982.52.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.fY6dvnwAXR0_9608.78-9617.12.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.FH72eproVZo_5231.05-5250.96.wav
"Brkić, Milijan",1000,48.0,M,young,data_age/seg.d2D71aNeq5Y_12602.7-12617.95.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.ytNmldJ8awI_3024.23-3043.56.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.fY6dvnwAXR0_2680.24-2691.77.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.TzVxVXtuwl4_17573.66-17587.65.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.8DJUjkE6g2A_11352.96-11367.33.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.fY6dvnwAXR0_4478.02-4497.38.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.ytNmldJ8awI_2920.29-2940.28.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.hIiADZ6RRKE_11436.1-11456.06.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.vJ4gib9EDcU_13895.0-13914.96.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.ST6gpm9k15Q_11088.94-11108.72.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.OjQV7hrE9vE_18458.21-18468.88.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.YPRcJ55pmOk_5131.5-5144.3.wav
"Vucelić, Damjan",630,39.0,M,young,data_age/seg.ytNmldJ8awI_3836.54-3856.46.wav
